Global ID,Label,nyuId,nyuClass,nyu40id,nyu40class,eigen13id,eigen13class,Unnamed: 6,RIO27 Mapping,Unnamed: 8,RIO7 Mapping,#sum,#train,#test,#val
1,air conditioner,79.0,air conditioner,40,otherprop,7,Objects,26,object,0,-,32,32,3,0
2,apron,141.0,clothes,40,otherprop,7,Objects,14,clothes,0,-,4,4,0,0
3,aquarium,263.0,vessel,40,otherprop,7,Objects,26,object,0,-,4,4,0,0
4,armchair,5.0,chair,5,chair,4,Chair,5,chair,1,seating,375,332,38,43
5,armoire,772.0,wardrobe,3,cabinet,6,Furniture,3,cabinet,0,-,5,0,0,5
6,armor,141.0,clothes,40,otherprop,7,Objects,14,clothes,0,-,4,4,0,0
7,audio system,54.0,speaker,40,otherprop,7,Objects,26,object,0,-,2,2,0,0
8,baby bed,485.0,crib,39,otherfurniture,6,Furniture,0,-,0,-,8,8,0,0
9,baby changing table,19.0,table,7,table,10,Table,7,table,0,-,2,2,0,0
10,baby changing unit,19.0,table,39,otherfurniture,6,Furniture,7,table,0,-,8,8,0,0
11,baby gym,524.0,furniture,39,otherfurniture,6,Furniture,0,-,0,-,2,2,0,0
12,baby seat,494.0,baby chair,5,chair,4,Chair,5,chair,0,-,3,3,0,0
13,baby toys,389.0,toy,40,otherprop,7,Objects,26,object,0,-,4,4,0,0
14,backpack,206.0,backpack,40,otherprop,7,Objects,26,object,6,items,110,106,22,4
15,bag,55.0,bag,37,bag,7,Objects,26,object,6,items,458,422,62,36
16,balcony,,,40,otherprop,7,Objects,0,-,0,-,4,4,0,0
17,balcony door,28.0,door,8,door,0,-,8,door,0,-,12,12,0,0
18,ball,60.0,ball,40,otherprop,7,Objects,0,-,6,items,18,14,9,4
19,bar,51.0,bar,38,otherstructure,0,-,10,counter,0,-,30,27,0,3
20,bar stool,150.0,stool,5,chair,4,Chair,5,chair,0,-,14,14,0,0
21,barrel,343.0,barrel,40,otherprop,7,Objects,0,-,0,-,11,11,0,0
22,barstool,150.0,stool,40,otherprop,7,Objects,5,chair,0,-,7,7,0,0
23,basin,24.0,sink,40,otherprop,7,Objects,0,-,0,-,9,6,0,3
24,basket,39.0,basket,40,otherprop,7,Objects,20,box,0,-,237,227,8,10
25,bath cabinet,3.0,cabinet,3,cabinet,6,Furniture,3,cabinet,2,table / cabinet,156,132,9,24
26,bath counter,7.0,counter,12,counter,6,Furniture,10,counter,0,-,3,3,0,0
27,bath rack,42.0,shelves,15,shelves,6,Furniture,11,shelf,0,-,2,2,0,0
28,bath robe,141.0,clothes,40,otherprop,7,Objects,0,-,0,-,6,6,0,0
29,bathrobe,141.0,clothes,40,otherprop,7,Objects,0,-,0,-,2,2,0,0
30,bathroom items,317.0,utensils,40,otherprop,7,Objects,0,-,0,-,0,0,5,0
31,bathtub,136.0,bathtub,36,bathtub,6,Furniture,25,bathtub,0,-,58,54,5,4
32,bbq,700.0,grill,40,otherprop,7,Objects,0,-,0,-,2,2,0,0
33,beam,,,38,otherstructure,0,-,0,-,0,-,3,3,0,0
34,bean bag,797.0,bean bag,39,otherfurniture,6,Furniture,26,object,5,cushions,10,10,6,0
35,beanbag,797.0,bean bag,39,otherfurniture,6,Furniture,26,object,0,-,30,30,0,0
36,beautician,121.0,makeup brush,40,otherprop,7,Objects,0,-,0,-,1,1,2,0
37,bed,157.0,bed,4,bed,1,Bed,4,bed,3,bed / sofa,232,226,44,6
38,bed table,19.0,table,7,table,10,Table,7,table,2,table / cabinet,1,1,2,0
39,bedside table,158.0,night stand,7,table,10,Table,7,table,2,table / cabinet,36,32,13,4
40,bench,204.0,bench,39,otherfurniture,6,Furniture,5,chair,1,seating,203,185,30,18
41,beverage crate,183.0,crate,29,box,7,Objects,20,box,0,-,39,39,0,0
42,bicycle,189.0,bicycle,40,otherprop,7,Objects,0,-,6,items,10,10,135,0
