index,category,raw_category_x,nyuId,nyu40id,eigen13id,nyuClass,nyu40class,eigen13class,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40index,mpcat40_x,raw_category_y,mpcat40_y
0,acoustic panel,acoustic panel,,40,,,otherprop,,,,,,,,,misc,,misc
1,advertisement,advertisement,,40,,,otherprop,,,,,,,,,misc,,misc
2,air conditioner,air conditioner,79.0,38,7.0,air conditioner,otherstructure,Objects,,,,,n02686379,air_conditioner.n.01,39.0,objects,air conditioner,objects
3,air conditioning,ac unit,,40,7.0,,otherprop,Objects,,,,,n02686379,air_conditioner.n.01,39.0,objects,air conditioning,objects
4,air duct,air duct,38.0,38,7.0,air duct,otherstructure,Objects,,,,,n02690941,air_passage.n.01,40.0,misc,air duct,misc
5,air freshener,air freshener,,40,,,otherprop,,,,,,,,,objects,,objects
6,air heater,air heater,111.0,39,6.0,heater,otherfurniture,Furniture,,,,,,,,misc,,misc
7,air hockey,air hockey,,39,6.0,,otherfurniture,Furniture,,,,,,,,objects,,objects
8,air purifier,air purifier,,40,,,otherprop,,,,,,,,,objects,,objects
9,air refresher,air refresher,,40,,,otherprop,,,,,,,,,objects,,objects
10,air vent,air vent,25.0,38,7.0,air vent,otherstructure,Objects,,,,,n04526241,vent.n.01,40.0,misc,air vent,misc
11,air vent fan,air vent fan,,40,,,otherprop,,,,,,,,,objects,,objects
12,air vent installation,air vent installation,,38,,,otherstructure,,,,,,,,,misc,,misc
13,aisle frame,aisle frame,,38,,,otherstructure,,,,,,,,,misc,,misc
14,alarm,alarm,525.0,40,7.0,alarm,otherprop,Objects,,,clock,3046257.0,n02694662,alarm_clock.n.01,39.0,objects,alarm,objects
15,alarm clock,alarm clock,156.0,40,7.0,alarm clock,otherprop,Objects,,,clock,3046257.0,n02694662,alarm_clock.n.01,39.0,objects,alarm clock,objects
16,alarm control,alarm controls,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,alarm control,misc
17,alarm controller,alarm controller,,40,7.0,,otherprop,Objects,,,,,,,,misc,,misc
18,album,album,822.0,40,,album,otherprop,,,,,,,,,objects,,objects
19,albums,albums,822.0,40,,album,otherprop,,,,,,,,,objects,,objects
20,alcohol bottles,alcohol bottles,333.0,40,,wine bottle,otherprop,,,,,,,,,objects,,objects
21,american flag,american flag,405.0,40,7.0,flag,otherprop,Objects,,,,,,,,misc,,misc
22,amplifier,amplifier,,40,7.0,,otherprop,Objects,,,,,n02705944,amplifier.n.01,39.0,objects,amp,objects
23,antique clock,antique clock,56.0,40,7.0,clock,otherprop,Objects,,,clock,3046257.0,n03046257,clock.n.01,39.0,objects,antique clock,objects
24,antique telephone,antique telephone,32.0,40,7.0,telephone,otherprop,Objects,,,telephone,4401088.0,n04401088,telephone.n.01,39.0,objects,antique telehone,objects
25,antlers,antlers,,40,,,otherprop,,,,,,,,,misc,,misc
26,apple,apple,334.0,40,,apple,otherprop,,,,,,,,,objects,,objects
27,appliance,appliance,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,appliance,misc
28,apron,apron,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,apron,misc
29,aquarium,aquarium,263.0,40,7.0,vessel,otherprop,Objects,,,,,n02732072,aquarium.n.01,40.0,misc,aquarium,misc
30,arcade,arcade,,40,,,otherprop,,,,,,,,,misc,,misc
