Category Tag,# of Scenes,# of Regions,Regions per Scene,# of Instances,Mean Instances per Scene,Mean Instances per Region,GT Name (if specified),Bathroom,Bedroom,Dining room,Garage,Hall/stairwell,Kitchen,Laundry room,Living room,Office,Rec room,Unknown room
Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,bathroom,21904,269,0,1,38,49,96,31,87,1,53052
Aggregate for bedroom:bed:bed base:bed cabinet:bed cabinet lamp:bed comforter:bed curtain:bed ladder:bed light:bed sheet:bed small:bed stand:bed table:bedding:bedframe:bedpost:bedroom ceiling:bedroom table:bedside cabinet:bedside cabinet door:bedside cabinet drawer:bedside lamp:bedside table:box with jewelry:ceiling bedroom:dresser:jewelry box:nightstand:wardrobe,205,832,4.058536585365854,2076,10.126829268292683,2.4951923076923075,bedroom,269,3802,12,4,57,82,18,216,567,29,30000
Aggregate for dining room:dining chair:dining table:dinner chair:dinner table,56,68,1.2142857142857142,358,6.392857142857143,5.264705882352941,dining room,0,12,221,0,18,386,4,88,8,2,3001
Aggregate for garage:garage door:garage door frame:garage door motor:garage door opener:garage door opener bar:garage door opener motor:garage door opener railing:garage door railing:garage light,25,26,1.04,107,4.28,4.115384615384615,garage,1,4,0,231,37,17,18,3,0,5,1984
Aggregate for hall/stairwell:stair:stair frame:stair handle:stair step:stair wall:staircase:staircase handrail:staircase trim:staircase wall:stairs:stairs railing:stairs skirt:stairs trim:stairs wall:stairwell,156,284,1.8205128205128205,1070,6.858974358974359,3.767605633802817,hall/stairwell,38,57,18,37,769,143,10,99,41,30,7090
Aggregate for kitchen:cabinet kitchen:dish rack:dishwasher:fridge:kitchen appliance:kitchen cabinet:kitchen cabinet door:kitchen cabinet drawer:kitchen cabinet lower:kitchen ceiling:kitchen chair:kitchen counter:kitchen counter item:kitchen counter support:kitchen countertop item:kitchen countertop items:kitchen decoration:kitchen extractor:kitchen gloves:kitchen handle:kitchen island:kitchen knife set:kitchen lower cabinet:kitchen lower shelf:kitchen seating:kitchen shelf:kitchen sink:kitchen sink cabinet:kitchen table:kitchen top:kitchen towel:kitchen utensil:kitchen utensils:kitchen wall:kitchenware:knife holder:knife set:oven:oven and stove:refrigerator:refrigerator cabinet:stove:stovetop,207,316,1.5265700483091786,3170,15.31400966183575,10.031645569620252,kitchen,49,82,386,17,143,8813,150,505,161,20,36946
Aggregate for laundry room:washer-dryer:washing machine:washing machine and dryer:washing powder:washing stuff,112,127,1.1339285714285714,248,2.2142857142857144,1.952755905511811,laundry room,96,18,4,18,10,150,204,4,11,1,3130
Aggregate for living room:circular sofa:coffee table:couch:l-shaped sofa:recliner:remote control:sofa:sofa chair:sofa seat:sofa set,207,472,2.2801932367149758,859,4.14975845410628,1.819915254237288,living room,31,216,88,3,99,505,4,1036,165,43,16858
Aggregate for office:computer:computer chair:computer desk:computer equipment:computer mouse:computer tower:desk:desk cabinet:desk chair:desk clutter:desk door:desk lamp:desk organizer:laptop:office chair:office table:office wall,167,363,2.1736526946107784,747,4.473053892215569,2.0578512396694215,office,87,567,8,0,41,161,11,165,1471,58,15201
Aggregate for rec room:barbell:exercise ball:exercise bike:exercise equipment:exercise ladder:exercise machine:exercise mat:exercise mat roll:exercising blocks:foosball game table:foosball table:gym equipment:gym mat:gym rope:gym stepper:pool stick:pool table:rack of weights:weight bench:yoga mat,40,59,1.475,190,4.75,3.2203389830508473,rec room,1,29,2,5,30,20,1,43,58,230,2192
acoustic panel,1,2,2.0,12,12.0,6.0,,0,3,0,0,1,0,0,0,4,0,81
advertisement,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,45
air conditioner,37,77,2.081081081081081,83,2.2432432432432434,1.077922077922078,,38,67,6,0,11,54,3,27,47,10,1936
air conditioning,16,28,1.75,28,1.75,1.0,,20,20,0,0,4,3,0,11,5,4,580
air duct,6,8,1.3333333333333333,16,2.6666666666666665,2.0,,0,2,0,0,3,0,3,0,1,1,289
air freshener,4,5,1.25,5,1.25,1.0,,3,2,0,0,1,4,0,0,1,0,177
air heater,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,27
air hockey,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,0,0,18
air purifier,1,1,1.0,1,1.0,1.0,,8,0,0,0,0,0,0,0,0,0,24
air refresher,2,3,1.5,3,1.5,1.0,,24,0,0,0,0,0,0,0,0,0,52
air vent,26,112,4.3076923076923075,198,7.615384615384615,1.7678571428571428,,206,49,1,0,11,61,12,36,29,3,2649
air vent fan,1,1,1.0,1,1.0,1.0,,7,0,0,0,0,0,0,0,0,0,14
air vent installation,1,1,1.0,4,4.0,4.0,,0,0,0,0,0,0,0,1,2,0,26
aisle frame,1,2,2.0,2,2.0,1.0,,0,1,0,0,0,0,0,2,0,0,39
alarm,35,116,3.3142857142857145,138,3.942857142857143,1.1896551724137931,,34,91,6,2,27,51,3,31,44,2,2259
alarm clock,29,38,1.3103448275862069,39,1.3448275862068966,1.0263157894736843,,1,92,0,0,1,1,0,5,9,0,839
alarm control,10,10,1.0,10,1.0,1.0,,0,2,1,0,7,0,1,7,2,0,236
alarm controller,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,12
album,2,2,1.0,3,1.5,1.5,,0,2,0,0,0,0,0,0,1,0,120
albums,3,3,1.0,7,2.3333333333333335,2.3333333333333335,,0,2,0,0,0,0,0,1,0,0,90
alcohol bottles,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,3,0,0,0,0,28
american flag,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,2,0,31
amplifier,12,16,1.3333333333333333,41,3.4166666666666665,2.5625,,0,8,2,0,5,10,0,9,4,3,490
antique clock,6,7,1.1666666666666667,7,1.1666666666666667,1.0,,0,1,2,0,0,1,0,7,4,0,210
antique telephone,2,2,1.0,2,1.0,1.0,,0,1,0,0,0,9,0,0,0,0,59
antlers,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,23
apple,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,1,0,36
appliance,49,154,3.142857142857143,303,6.183673469387755,1.9675324675324675,,52,63,26,14,24,120,8,64,81,11,3511
apron,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,2,0,0,0,0,41
aquarium,3,3,1.0,3,1.0,1.0,,0,4,0,0,0,0,0,2,0,0,53
arcade,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,0,0,0,0,24
arcade game,6,7,1.1666666666666667,8,1.3333333333333333,1.1428571428571428,,0,1,1,0,3,6,0,7,3,4,230
arch,6,12,2.0,39,6.5,3.25,,20,0,0,3,5,0,1,1,0,0,227
archway,6,9,1.5,15,2.5,1.6666666666666667,,0,2,2,3,1,7,0,5,0,0,216
armchair,142,319,2.2464788732394365,498,3.507042253521127,1.561128526645768,,57,279,19,7,39,122,1,249,73,16,7695
art frame,17,54,3.176470588235294,128,7.529411764705882,2.3703703703703702,,53,36,1,0,7,26,3,21,22,1,1069
art piece,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,0,0,0,0,4
art/clutter,2,2,1.0,5,2.5,2.5,,0,1,0,0,1,0,0,2,0,0,58
art/muscle shell,1,1,1.0,8,8.0,8.0,,0,0,2,0,0,0,0,2,0,0,35
art/statue,2,2,1.0,2,1.0,1.0,,0,1,0,0,0,1,0,1,0,0,56
artwork,6,22,3.6666666666666665,48,8.0,2.1818181818181817,,45,17,1,0,1,19,2,6,2,0,580
artwork frame,1,3,3.0,3,3.0,1.0,,11,5,0,0,1,0,1,0,2,0,94
ashtray,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,26
attic door,29,31,1.0689655172413792,31,1.0689655172413792,1.0,,14,12,0,0,14,0,1,6,5,1,535
attic entrance,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,19
attic hatch,8,8,1.0,8,1.0,1.0,,0,0,0,0,3,1,0,2,0,0,116
audio cable,1,1,1.0,5,5.0,5.0,,0,0,0,0,0,0,0,0,1,0,87
audio cables,1,1,1.0,11,11.0,11.0,,0,0,0,0,0,0,0,0,1,0,87
audio player,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,35
axe,2,2,1.0,2,1.0,1.0,,0,0,0,2,0,0,0,0,0,0,60
baby chair,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,33
baby changing station,3,3,1.0,3,1.0,1.0,,0,4,0,0,0,0,0,0,0,0,59
baby changing table,1,2,2.0,2,2.0,1.0,,0,3,1,0,0,0,0,0,0,0,45
baby seat,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,4,0,35
backpack,24,30,1.25,40,1.6666666666666667,1.3333333333333333,,2,32,1,3,1,13,3,5,8,1,756
backrest,3,4,1.3333333333333333,11,3.6666666666666665,2.75,,0,1,0,0,0,0,0,0,0,0,47
backsplash,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,12,0,0,0,0,53
bag,110,271,2.463636363636364,769,6.990909090909091,2.837638376383764,,79,152,16,36,42,141,24,51,131,19,6901
bag with sheets,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,21
bag with something,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,3,0,0,0,0,28
bags,4,9,2.25,18,4.5,2.0,,1,4,0,4,4,5,2,0,2,1,343
balcony,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,20
balcony railing,6,6,1.0,8,1.3333333333333333,1.3333333333333333,,0,0,0,0,0,0,0,1,0,0,61
ball,23,29,1.2608695652173914,47,2.0434782608695654,1.6206896551724137,,0,18,2,1,1,29,7,17,12,9,912
ball chair,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,1,0,54
ball pool,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,8
ball pouffe,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,2,0,1,21
balustrade,16,24,1.5,37,2.3125,1.5416666666666667,,0,3,0,0,13,0,2,10,7,0,497
banister,30,40,1.3333333333333333,76,2.533333333333333,1.9,,3,8,0,0,33,0,0,9,4,0,750
banner,1,2,2.0,2,2.0,1.0,,0,0,0,0,0,1,0,2,2,0,80
bar,13,31,2.3846153846153846,58,4.461538461538462,1.8709677419354838,,16,15,0,2,4,12,4,8,11,7,636
bar cabinet,5,6,1.2,11,2.2,1.8333333333333333,,0,0,0,0,4,1,0,5,3,6,184
bar chair,22,23,1.0454545454545454,72,3.272727272727273,3.130434782608696,,0,2,9,0,6,64,0,23,7,8,704
bar soap,3,3,1.0,3,1.0,1.0,,19,0,0,0,0,0,0,0,0,0,55
barbecue,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,1,0,3,0,0,38
barbell,1,1,1.0,2,2.0,2.0,rec room,0,0,0,0,0,0,0,0,0,7,11
barrel,5,5,1.0,5,1.0,1.0,,8,1,0,0,1,0,0,1,0,0,113
base,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,1,0,0,0,0,41
baseball bat,2,2,1.0,2,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,72
baseball cap,1,1,1.0,2,2.0,2.0,,0,2,0,0,0,0,0,0,0,0,19
baseboard,1,2,2.0,8,8.0,4.0,,0,0,0,0,1,0,0,0,0,0,15
basin,5,8,1.6,11,2.2,1.375,,19,1,0,0,1,2,0,0,0,0,126
basin faucet,1,1,1.0,1,1.0,1.0,,4,3,0,0,0,0,0,0,0,0,24
basket,128,324,2.53125,526,4.109375,1.623456790123457,,390,153,10,14,33,177,31,94,89,22,7839
basket of fruits,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,0,0,21
basket of something,70,154,2.2,257,3.6714285714285713,1.6688311688311688,,135,60,26,17,28,185,14,37,36,10,3589
basket of towels,6,7,1.1666666666666667,8,1.3333333333333333,1.1428571428571428,,15,0,0,0,1,0,1,5,0,0,149
basket with books,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,26
basket with clothes,2,2,1.0,3,1.5,1.5,,0,2,0,0,0,0,0,2,0,0,51
basketball hoop,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,1,0,2,0,3,31
basketballs,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,32
baskets,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,41
bath,21,30,1.4285714285714286,30,1.4285714285714286,1.0,bathroom,185,6,0,0,0,0,0,3,5,0,611
bath bar,1,1,1.0,1,1.0,1.0,bathroom,4,2,0,0,0,0,0,0,2,0,31
bath cabinet,22,28,1.2727272727272727,31,1.4090909090909092,1.1071428571428572,bathroom,168,4,0,0,0,0,1,1,0,0,406
bath carpet,1,1,1.0,1,1.0,1.0,bathroom,7,0,0,0,0,0,0,0,0,0,10
bath cosmetics,1,1,1.0,1,1.0,1.0,bathroom,12,0,0,0,0,0,0,1,2,0,46
bath curtain,2,2,1.0,2,1.0,1.0,bathroom,11,0,0,0,0,0,0,0,0,0,46
bath curtain bar,1,1,1.0,1,1.0,1.0,bathroom,7,0,0,0,0,0,0,0,0,0,15
bath dial,4,4,1.0,6,1.5,1.5,bathroom,29,0,0,0,0,0,0,0,0,0,81
bath door,1,1,1.0,1,1.0,1.0,bathroom,7,0,0,0,0,0,0,0,0,0,24
bath door frame,1,2,2.0,2,2.0,1.0,bathroom,16,0,0,0,0,0,0,0,0,0,40
bath faucet,27,30,1.1111111111111112,34,1.2592592592592593,1.1333333333333333,bathroom,256,4,0,0,0,0,1,1,3,0,557
bath floor,1,1,1.0,1,1.0,1.0,bathroom,13,0,0,0,0,0,0,0,0,0,25
bath grab bar,1,1,1.0,1,1.0,1.0,bathroom,7,0,0,0,0,0,0,0,0,0,15
bath hanger,1,1,1.0,1,1.0,1.0,bathroom,4,0,0,0,0,0,0,0,0,0,13
bath mat,16,22,1.375,30,1.875,1.3636363636363635,bathroom,128,2,0,0,0,0,2,1,0,0,325
bath shelf,4,4,1.0,4,1.0,1.0,bathroom,33,0,0,0,0,0,0,1,2,0,122
bath shower,1,1,1.0,1,1.0,1.0,bathroom,12,0,0,0,0,0,0,1,2,0,46
bath side table,1,1,1.0,1,1.0,1.0,bathroom,13,3,0,0,0,0,0,0,1,0,32
bath sink,21,28,1.3333333333333333,37,1.7619047619047619,1.3214285714285714,bathroom,197,0,0,0,0,0,1,0,0,0,370
bath tap,2,2,1.0,3,1.5,1.5,bathroom,11,0,0,0,0,0,0,0,0,0,30
bath towel,24,31,1.2916666666666667,57,2.375,1.8387096774193548,bathroom,251,5,0,0,0,0,1,0,0,0,468
bath towels,1,1,1.0,4,4.0,4.0,bathroom,1,0,0,0,0,0,0,0,0,0,18
bath tub,7,8,1.1428571428571428,8,1.1428571428571428,1.0,bathroom,46,1,0,0,0,0,1,0,0,0,142
bath utensil,7,9,1.2857142857142858,22,3.142857142857143,2.4444444444444446,bathroom,57,0,0,0,0,0,0,0,0,0,156
bath wall,29,31,1.0689655172413792,88,3.0344827586206895,2.838709677419355,bathroom,222,2,0,0,2,0,1,0,1,0,510
bathmat,1,1,1.0,2,2.0,2.0,bathroom,3,0,0,0,0,0,0,0,0,0,16
bathrobe,17,21,1.2352941176470589,23,1.3529411764705883,1.0952380952380953,bathroom,126,13,0,0,0,0,1,0,2,0,369
bathroom accessory,41,69,1.6829268292682926,216,5.2682926829268295,3.130434782608696,bathroom,475,2,0,0,2,1,4,0,0,0,1125
