Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame)
00006-HkseAnWCgqk,0,22,ceiling lamp;vent;fire alarm;heater;chair;painting;picture;door frame;drawer;bed;pillow;sculpture;cabinet;lamp;appliance;sheet
00006-HkseAnWCgqk,1,28,rug;ceiling lamp;door frame;desk;desk chair;drawer;lamp;folder;calculator;cup;box;rack;printer;picture;shelf;book;cabinet;vent;fire alarm;decoration;toy;wall panel
00006-HkseAnWCgqk,2,26,rug;couch;pillow;shelf;painting;ceiling lamp;alarm;vent;door frame;tv;speaker;table;box;cabinet;lamp;book rack;wall panel;decoration;appliance;book
00006-HkseAnWCgqk,3,10,ceiling lamp;shelf;stool;table;decoration
00006-HkseAnWCgqk,4,17,shelf;ceiling lamp;door frame;heater;basket;bathtub;shower cabin;bathroom cabinet;sink;bathroom accessory;box;shower hose/head;vent
00006-HkseAnWCgqk,5,21,rug;door frame;ceiling lamp;beam;mirror;heater;painting;wall panel;stool;picture;appliance;decoration;wardrobe;cabinet;wall lamp;stairs;balustrade
00006-HkseAnWCgqk,6,13,beam;ceiling lamp;mirror;balustrade;appliance;wall panel;shelf;door frame;picture
00006-HkseAnWCgqk,7,12,toilet;toilet paper;sink;tap;shelf;mirror;towel;picture;vent;toilet brush holder
00006-HkseAnWCgqk,8,48,rug;ceiling lamp;couch;pillow;table;painting;heater;step;book rack;book;decoration;box;alarm;vent;fire alarm;dining table;dining chair;lamp;picture;candle;air conditioner;duct;display cabinet;bottles of wine;kitchen counter;refrigerator cabinet;refrigerator;kitchen cabinet;oven;countertop;sink;tap;kitchen countertop item;kettle;coffee machine;kitchen appliance;paper towel;stove;dishrag;kitchen extractor;shelf;mini fridge
00006-HkseAnWCgqk,9,6,gutter;lamp;step
00006-HkseAnWCgqk,10,7,ceiling lamp;toilet paper;sink;mirror
00009-vLpv2VX547B,0,33,curtain;picture;lamp;cabinet;radio;car;stuffed animal;cardboard box;rocking horse;globe;box;wardrobe;mirror;container;bag;desk chair;desk;clock;book;laptop;shoe;printer;chair;device;newspaper;toy;computer mouse;doll
