name,cleaned,nyuId,nyu40id,nyuClass,nyu40class
air conditioner 02,air conditioner,79,40,air conditioner,otherprop
air conditioner 03,air conditioner,79,40,air conditioner,otherprop
air conditioner 04,air conditioner,79,40,air conditioner,otherprop
ash can,unknown,20,40,unknown,otherprop
ash can (1),unknown,20,40,unknown,otherprop
ash can (2),unknown,20,40,unknown,otherprop
ash can (3),unknown,20,40,unknown,otherprop
ash can (4),unknown,20,40,unknown,otherprop
ash can (5),unknown,20,40,unknown,otherprop
ashbin,trash can,12,40,garbage bin,otherprop
ashbin 1,trash can,12,40,garbage bin,otherprop
ashbin 2,trash can,12,40,garbage bin,otherprop
ashtray,ashtray,377,40,ashtray,otherprop
balcony door,balcony door,28,8,door,door
balcony door 1,balcony door,28,8,door,door
balcony doorframe,door frame,615,38,door frame,otherstructure
bathroom,shower,20,38,unknown,otherstructure
bathshelf,shelf,42,15,shelves,shelves
bathwall,wall,21,38,wall,otherstructure
bed01a,mattress,576,38,mattress,otherstructure
bed01b,quilt,575,40,quilt,otherprop
bed01frame,unknown,20,40,unknown,otherprop
bed02a,mattress,576,38,mattress,otherstructure
bed02b,quilt,575,40,quilt,otherprop
bed02frame,bed,157,4,bed,bed
bedroom light,bedroom light,62,35,light,lamp
bedroom light 1,bedroom light,62,35,light,lamp
bedside light 01,lamp,144,35,lamp,lamp
bedside light 01 (1),lamp,144,35,lamp,lamp
bedside light 02,lamp,144,35,lamp,lamp
bedside light 02 (1),lamp,144,35,lamp,lamp
bedside light 03,lamp,144,35,lamp,lamp
bedside light 03 (1),lamp,144,35,lamp,lamp
bedsidechest02 open,night stand,158,32,night stand,night stand
bedsidechest02 open door,unknown,20,40,unknown,otherprop
bedsidechest03 open,night stand,158,32,night stand,night stand
bedsidechest03 open 1,night stand,158,32,night stand,night stand
bedsidechest03 open doorA,unknown,20,40,unknown,otherprop
bedsidechest03 open doorB,unknown,20,40,unknown,otherprop
bedsidechest03 open doorC,unknown,20,40,unknown,otherprop
bedsidesofa01,bed bench,204,39,bench,otherfurniture
bedsidesofa02,bed bench,204,39,bench,otherfurniture
bedsidewall,wall,21,38,wall,otherstructure
book1,book,1,23,book,books
book2,book,1,23,book,books
book3,book,1,23,book,books
book4,book,1,23,book,books
book5,book,1,23,book,books
book6,book,1,23,book,books
bottle01,bottle,2,40,bottle,otherprop
bottle02,bottle,2,40,bottle,otherprop
bottle03,bottle,2,40,bottle,otherprop
bottle04,bottle,2,40,bottle,otherprop
bottle05,bottle,2,40,bottle,otherprop
bottle06,bottle,2,40,bottle,otherprop
bottle07,bottle,2,40,bottle,otherprop
bottle08,bottle,2,40,bottle,otherprop
bottle09,bottle,2,40,bottle,otherprop
bottle10,bottle,2,40,bottle,otherprop
bottle11,bottle,2,40,bottle,otherprop
bottle12,bottle,2,40,bottle,otherprop
bottle13,bottle,2,40,bottle,otherprop
bottle14,bottle,2,40,bottle,otherprop
bottle15,bottle,2,40,bottle,otherprop
bowl,bowl,22,40,bowl,otherprop
bowl 1,bowl,22,40,bowl,otherprop
bowl 2,bowl,22,40,bowl,otherprop
bowl 3,bowl,22,40,bowl,otherprop
bowl 4,bowl,22,40,bowl,otherprop
bowl 5,bowl,22,16,bowl,curtain
bowl 6,bowl,22,40,bowl,otherprop
carpet01,carpet,130,20,rug,floor mat
