name,cleaned,nyuId,nyu40id,nyuClass,nyu40class
Arc,arc,686,38,door way arch,otherstructure
Ceiling,ceiling,4,22,ceiling,ceiling
Ceiling lamp,ceiling lamp,144,35,lamp,lamp
Ceiling lamp (1),ceiling lamp,144,35,lamp,lamp
Chopsticks,chopsticks,267,40,utensil,otherprop
Chopsticks (1),chopsticks,267,40,utensil,otherprop
Column,column,94,38,column,otherstructure
Column (1),column,94,38,column,otherstructure
Column (2),column,94,38,column,otherstructure
Column (3),column,94,38,column,otherstructure
Column (4),column,94,38,column,otherstructure
Dish,dish,721,40,glass dish,otherprop
door 1,door,28,8,door,door
door 2,door,28,8,door,door
door 3,door,28,8,door,door
door 4,door,28,8,door,door
DuoDraconis_JapSet_BarLightSmall,lantern,144,35,lamp,lamp
DuoDraconis_JapSet_BarLightSmall (1),lantern,144,35,lamp,lamp
DuoDraconis_JapSet_BarSake,jar,70,40,jar,otherprop
DuoDraconis_JapSet_BoxLamp,lantern,144,35,lamp,lamp
DuoDraconis_JapSet_Fan_02,fan decoration,842,40,decoration item,otherprop
DuoDraconis_JapSet_LavenderVase,vase,78,40,vase,otherprop
DuoDraconis_JapSet_SmallTable,table,19,7,table,table
DuoDraconis_JapSet_SmallTable (1),table,19,7,table,table
entrance doors,entrance door,28,8,door,door
Exterior floor,unknown,20,40,unknown,otherprop
Floor,floor,11,2,floor,floor
Flowers,flowers,81,40,flower,otherprop
Flowers (1),flowers,81,40,flower,otherprop
Flowers 2,flowers,81,40,flower,otherprop
Glass,glass,612,38,glass,otherstructure
Glass (1),glass,612,38,glass,otherstructure
Glass 2,glass,22,40,bowl,otherprop
Glass 3,glass,22,40,bowl,otherprop
Picture 1,calligraphy painting,64,11,picture,picture
Picture 2,calligraphy painting,64,11,picture,picture
Picture 3,calligraphy painting,64,11,picture,picture
Picture 4,painting,64,11,picture,picture
Pillow,pillow,119,18,pillow,pillow
Pillow (1),pillow,119,18,pillow,pillow
Pillow (2),pillow,119,18,pillow,pillow
Pillow (3),pillow,119,18,pillow,pillow
Plant 1,potted plant,82,40,plant,otherprop
Plant 2,potted plant,82,40,plant,otherprop
Sake,sake bottle,2,40,bottle,otherprop
Sauce,sauce bowl,22,40,bowl,otherprop
Sushi 1,sushi,20,40,unknown,otherprop
Sushi 2,sushi,20,40,unknown,otherprop
Sushi 3,sushi,20,40,unknown,otherprop
Table 1,table,19,7,table,table
Tablecloth,placemat,154,40,placemat,otherprop
Tablecloth (1),placemat,154,40,placemat,otherprop
Tatami,tatami,143,40,floor mat,otherprop
Teapot,teapot,678,40,tea pot,otherprop
Tree 2,tree,82,40,plant,otherprop
Tree 2 (1),tree,82,40,plant,otherprop
Tree 2 (10),tree,82,40,plant,otherprop
Tree 2 (11),tree,82,40,plant,otherprop
Tree 2 (12),tree,82,40,plant,otherprop
Tree 2 (13),tree,82,40,plant,otherprop
Tree 2 (14),tree,82,40,plant,otherprop
Tree 2 (15),tree,82,40,plant,otherprop
Tree 2 (2),tree,82,40,plant,otherprop
Tree 2 (3),tree,82,40,plant,otherprop
Tree 2 (4),tree,82,40,plant,otherprop
Tree 2 (5),tree,82,40,plant,otherprop
Tree 2 (6),tree,82,40,plant,otherprop
Tree 2 (7),tree,82,40,plant,otherprop
Tree 2 (8),tree,82,40,plant,otherprop
Tree 2 (9),tree,82,40,plant,otherprop
Vase 1,vase,78,40,vase,otherprop
Wall 1,wall,21,1,wall,wall
Wall 2,wall,21,1,wall,wall
Wall 3,wall,21,1,wall,wall
Wall table,display ledge,869,38,mini display platform,otherstructure
wardrobe door A,wardrobe door,28,8,door,door
wardrobe door B,wardrobe door,28,8,door,door
Zen stones,zen stone decoration,842,40,decoration item,otherprop
