name,cleaned,nyuId,nyu40id,nyuClass,nyu40class
Plane,plane,20,38,unknown,otherstructure
SM_BlockWoodenFramed,wooden floor/wall/ceiling panel,20,38,unknown,otherstructure
SM_LampS2_LOD0,lamp,144,35,lamp,lamp
SM_LampS2_LOD1,lamp,144,35,lamp,lamp
SM_LampS2_LOD2,lamp,144,35,lamp,lamp
SM_LampS2_LOD3,lamp,144,35,lamp,lamp
SM_PannelV1_Poster,panel poster,406,40,poster board,otherprop
SM_LampS1_LOD0,lamp,144,35,lamp,lamp
SM_LampS1_LOD1,lamp,144,35,lamp,lamp
SM_LampS1_LOD2,lamp,144,35,lamp,lamp
SM_LampS1_LOD3,lamp,144,35,lamp,lamp
SM_PannelV1_Frame5,panel frame,116,39,poster case,otherfurniture
SM_BlackPot_LOD0,pot,16,40,pot,otherprop
SM_BlackPot_LOD1,pot,16,40,pot,otherprop
SM_BigEvergreenIvy_LOD0,evergreen ivy,82,40,plant,otherprop
SM_BigEvergreenIvy_LOD1,evergreen ivy,82,40,plant,otherprop
SM_BigEvergreenIvy_LOD2,evergreen ivy,82,40,plant,otherprop
SM_BigEvergreenIvy_LOD3,evergreen ivy,82,40,plant,otherprop
SM_PortsS2,ports,301,40,light switch,otherprop
SM_FireExtinguisherBoxS_LOD0,fire extinguisher box,10,40,fire extinguisher,otherprop
SM_FireExtinguisherBoxS_LOD1,fire extinguisher box,10,40,fire extinguisher,otherprop
SM_FireExtinguisherBoxS_LOD2,fire extinguisher box,10,40,fire extinguisher,otherprop
SM_FireExtinguisherBoxS_LOD3,fire extinguisher box,10,40,fire extinguisher,otherprop
SM_ScannerS_LOD0,scanner,537,40,flatbed scanner,otherprop
SM_ScannerS_LOD1,scanner,537,40,flatbed scanner,otherprop
SM_ScannerS_LOD2,scanner,537,40,flatbed scanner,otherprop
SM_ScannerS_LOD3,scanner,537,40,flatbed scanner,otherprop
SM_MetallicOrganizerS_LOD0,organizer,3,3,cabinet,cabinet
SM_MetallicOrganizerS_LOD1,organizer,3,3,cabinet,cabinet
SM_MetallicOrganizerS_LOD2,organizer,3,3,cabinet,cabinet
SM_MetallicOrganizerS_LOD3,organizer,3,3,cabinet,cabinet
SM_PaperBoxStorageSBlack_LOD0,paper box,503,40,box of paper,otherprop
SM_PaperBoxStorageSBlack_LOD1,paper box,503,40,box of paper,otherprop
SM_PaperBoxStorageSBlack_LOD2,paper box,503,40,box of paper,otherprop
SM_PaperBoxStorageSBlack_LOD3,paper box,503,40,box of paper,otherprop
SM_ColorfulPaperBoxStorage,paper box,503,40,box of paper,otherprop
SM_Paint,paint,20,40,unknown,otherprop
SM_FireAlarm,fire alarm,338,40,fire alarm,otherprop
SM_Camera_LOD0,camera,40,40,camera,otherprop
SM_Camera_LOD1,camera,40,40,camera,otherprop
SM_Camera_LOD2,camera,40,40,camera,otherprop
SM_Camera_LOD3,camera,40,40,camera,otherprop
SM_BlockGlassFramed,block glass framed,21,1,wall,wall
SM_WhiteHeadphones_LOD0,headphones,160,40,headphones,otherprop
SM_WhiteHeadphones_LOD1,headphones,160,40,headphones,otherprop
SM_WhiteHeadphones_LOD2,headphones,160,40,headphones,otherprop
SM_WhiteHeadphones_LOD3,headphones,160,40,headphones,otherprop
SM_HeadphonesSBlack_LOD0,headphones,160,40,headphones,otherprop
SM_HeadphonesSBlack_LOD1,headphones,160,40,headphones,otherprop
