object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,floor,11,2,floor,floor,0.003130481645998358,-1.0624020280435882,0.008850263786869664,5.518104351927535,4.144421376926045,0.05294404214966017,0.008355254589924354,_,211,211,211,gray,0.6700097649796991,3.365307990888396,210,180,140,brown,0.2931843378536134,4.779883234754255,_,_,_,_,_,_
1,0,floor,11,2,floor,floor,-0.04850002303078688,-6.4218063740090665,-0.19512587825809402,6.634818814432499,5.629835420912212,0.6402603552046009,1.5682067657335337,_,160,82,45,brown,0.5534163232724213,10.049835057765003,165,42,42,maroon,0.28011046147871677,20.711561050638736,_,_,_,_,_,_
2,0,wall,21,1,wall,wall,-2.670100954317355,-5.861215889997791,2.081495739719496,7.8196357301944825,0.1776292530469208,4.168714710471229,-1.5569602740351798,_,192,192,192,gray,0.9126134522220263,2.478089362288466,_,_,_,_,_,_,_,_,_,_,_,_
3,0,wall,21,1,wall,wall,2.77919846682095,-5.843800648683478,2.023970228989287,7.81881984105728,0.12928306469709794,4.051830581175742,1.5661993250406554,_,169,169,169,gray,0.9526871709997011,3.07595412065926,_,_,_,_,_,_,_,_,_,_,_,_
4,0,wall,21,1,wall,wall,-2.4866665163807,-1.9304706538873377,2.6242570978150965,10.59636237725847,0.16399708718057604,5.24532025691942,-0.0029794875305956124,_,192,192,192,gray,0.73336655214917,3.335782668248688,210,180,140,brown,0.18377435682253285,9.002067284266047,_,_,_,_,_,_
5,0,wall,21,1,wall,wall,0.0943050019362115,-9.782251057027011,2.629624980445286,5.508593191778892,0.220156899367014,5.231788316441061,3.138848314092925,_,128,128,128,gray,0.8830844456191357,5.0173748706135655,_,_,_,_,_,_,_,_,_,_,_,_
6,0,wall,21,1,wall,wall,-0.04689538930707295,0.9978872689926902,1.9927840577259672,3.2148973287956037,0.09182860269447501,3.998812787507893,-3.137155902193921,_,192,192,192,gray,0.6960433774704334,2.583258630548365,210,180,140,brown,0.16246905819024793,5.320797937433163,_,_,_,_,_,_
7,0,wall,21,1,wall,wall,1.5436341833203875,-0.44477467403744775,1.3293525290398873,2.954342960445376,0.10052076010875943,2.6611286999652894,1.5725971925687403,_,192,192,192,gray,0.7951250893495354,2.505469025263535,_,_,_,_,_,_,_,_,_,_,_,_
8,0,ceiling wall,21,1,wall,wall,-1.8635879579061372,-5.806512783478459,4.62448328283139,7.714564694686487,1.6616237116890695,1.2295542940693487,1.5736893533339054,_,169,169,169,gray,0.9998974963483074,2.588239252551979,_,_,_,_,_,_,,,,,,
9,0,ceiling wall,21,1,wall,wall,1.974237270648893,-5.8004219464584885,4.63250187685634,7.7800641500795065,1.6818460112378002,1.2348412006669456,1.5736184779488687,_,169,169,169,gray,0.9910053271411009,2.661460877255569,_,_,_,_,_,_,_,_,_,_,_,_
10,0,ceiling,4,22,ceiling,ceiling,0.05556303452631585,-5.812104715811714,5.243932359065209,7.797213268024431,2.24905504692809,0.07856538225440346,1.5747352630730902,_,169,169,169,gray,0.9668206438905433,3.0273146294542546,_,_,_,_,_,_,,,,,,
11,0,ceiling,4,22,ceiling,ceiling,0.06796789190156863,-0.44819941851530004,3.2165081082081484,2.9606138630473486,3.0882203948575446,1.5659583187250181,-1.5624426829154954,_,255,218,185,yellow,0.40572897805461,5.878374138974319,210,180,140,brown,0.33827768523212864,5.099828740103695,192,192,192,gray,0.21969290939378577,5.197889527291392
12,0,fireplace,372,38,fireplace,otherstructure,2.2833610849398287,-6.442924837258275,2.229321527535514,1.9438544845325172,1.0860961684379933,4.463090358787677,1.5680381102034675,_,192,192,192,gray,0.7674331898866961,3.5749216295298765,47,79,79,aqua,0.12140514512123453,20.673515231372377,_,_,_,_,_,_
13,0,sofa seat,20,40,unknown,otherprop,-1.2589005763770424,-6.206955896138932,0.5014826548915711,2.3276473165854883,1.1637239845644802,1.0079082823030567,1.586795787101473,_,105,105,105,gray,0.4142522437169524,10.805244352516223,0,0,0,black,0.2145518327422638,31.974411021604826,47,79,79,aqua,0.16787227777279884,23.798411298149453
14,0,sofa seat,20,40,unknown,otherprop,1.1363529302472803,-8.003795918405485,0.43361722705700834,1.7891817291837921,1.0759749910534904,0.8554080626120912,-2.4893662614092156,_,105,105,105,gray,0.4954721338708697,7.648779158662869,160,82,45,brown,0.18836733453536192,21.143205533445233,178,34,34,maroon,0.12896821377200623,22.411157345186318
