object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,floor,11,2,floor,floor,-0.00031776024232661694,-1.0612127151385253,0.008259731278535992,5.5105989995372555,4.142613625734723,0.051246400626451694,0.007817868481217382,_,211,211,211,gray,0.6693380302363129,3.3638211016970976,210,180,140,brown,0.2934683692939968,4.775091529805893,_,_,_,_,_,_
1,0,floor,11,2,floor,floor,-0.047441146868302156,-6.422038744011078,-0.19349433723807277,6.637723955923432,5.629027084393025,0.6367712374592125,1.567327679994461,_,160,82,45,brown,0.5529171090452392,10.036567748794141,165,42,42,maroon,0.2804291719536301,20.6742562074978,_,_,_,_,_,_
2,0,wall,21,1,wall,wall,-2.659710812753042,-5.862627558475177,2.0855539202132074,7.816930506811308,0.17583501513240707,4.176843825298907,-1.5599332287799867,_,192,192,192,gray,0.9138670659287048,2.517483792591516,_,_,_,_,_,_,_,_,_,_,_,_
3,0,wall,21,1,wall,wall,2.7787486882724015,-5.8443096227693045,2.023846584735135,7.81749767863559,0.13068179167695382,4.052029085325538,1.5660241615519328,_,169,169,169,gray,0.9538786716138444,3.0964929265976435,_,_,_,_,_,_,_,_,_,_,_,_
4,0,wall,21,1,wall,wall,-2.4839958330075613,-1.932521064900237,2.6254519282395425,10.58918705357051,0.15373620360984575,5.240915480095864,-0.0010737742467942166,_,192,192,192,gray,0.7317858598073106,3.3340884591859954,210,180,140,brown,0.18506591658889868,8.979683546567848,_,_,_,_,_,_
5,0,wall,21,1,wall,wall,0.09509360712120324,-9.777718198476618,2.6279316100894863,5.506850801699853,0.22333102844037533,5.231350074170401,3.137701135934983,_,128,128,128,gray,0.880509614623724,5.045462535251513,_,_,_,_,_,_,_,_,_,_,_,_
6,0,wall,21,1,wall,wall,-0.045927212682182694,1.0000813031078897,1.9937090198757703,3.21015458982448,0.087647791148045,3.9979188438918793,-3.1362161138144447,_,192,192,192,gray,0.695054945054945,2.578154042780226,210,180,140,brown,0.16562009419152277,5.444363772481224,_,_,_,_,_,_
7,0,wall,21,1,wall,wall,1.5470032417057658,-0.44434693833501016,1.32826985787317,2.953332962807629,0.09228977335982314,2.659317318688971,1.57179121818038,_,192,192,192,gray,0.7949434198899752,2.5421405263237986,_,_,_,_,_,_,_,_,_,_,_,_
8,0,ceiling wall,21,1,wall,wall,-1.8641927170449193,-5.810966227464166,4.624767938078588,7.7204346236933965,1.6617307771654242,1.2295067597233302,1.5738129736989943,_,169,169,169,gray,0.9998457325774229,2.58789256806429,_,_,_,_,_,_,,,,,,
9,0,ceiling wall,21,1,wall,wall,1.9746413324893146,-5.802270885540769,4.63265264639216,7.782137752872659,1.6781217127237096,1.2344754888398484,1.5725347746364073,_,169,169,169,gray,0.9907710424340349,2.6580038970164592,_,_,_,_,_,_,,,,,,
10,0,ceiling,4,22,ceiling,ceiling,0.0478440112840234,-5.8116690329189495,5.24203116848426,7.7991726064713625,2.2671445323076522,0.07524724607666755,1.5743750649214032,_,169,169,169,gray,0.9671686958969667,3.0236186136652172,_,_,_,_,_,_,,,,,,
11,0,ceiling,4,22,ceiling,ceiling,0.070054121990002,-0.4470047339588928,3.214354649369569,3.0857620884932158,2.9603617592436593,1.559935855263984,0.009019676627328112,_,255,218,185,yellow,0.4030396807033781,5.881773158713305,210,180,140,brown,0.3412916473854697,5.11072124113573,192,192,192,gray,0.21951642757982415,5.195633552815981
12,0,fireplace,372,38,fireplace,otherstructure,2.2837711223623733,-6.442571072426191,2.2298042403885683,1.942028242787555,1.0868593826251096,4.461564131390814,1.5673403555835628,_,192,192,192,gray,0.887771434332741,5.90986299915869,_,_,_,_,_,_,_,_,_,_,_,_
13,0,sofa seat,20,40,unknown,otherprop,-1.2590127332562708,-6.207049840161818,0.5003460932542843,2.3280284401992697,1.1631254563854427,1.006822371518827,1.586626685511678,_,105,105,105,gray,0.5802901067470249,14.561421139191308,0,0,0,black,0.21423463915419583,32.055361497111036,165,42,42,maroon,0.1058276725062567,29.706659293514225
14,0,sofa seat,20,40,unknown,otherprop,1.1343396902903202,-8.005250751656783,0.4333203121670186,1.7834015314310334,1.0740119293911903,0.8542952963650601,-2.489064667485637,_,105,105,105,gray,0.5219066937119675,8.6453598246786,160,82,45,brown,0.18912778904665314,21.062430997448224,178,34,34,maroon,0.1296551724137931,22.499370586591024
15,0,sofa chair,5,5,chair,chair,1.52675227265304,-4.503194785672691,0.47690424825870203,1.0909305660434612,1.055411397364817,0.9771033723193692,-0.3944975823157888,_,105,105,105,gray,0.40537822243396326,14.197279547870897,0,0,0,black,0.28611508125562435,32.55816340991398,165,42,42,maroon,0.11762214811285797,30.064282561030637
