object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,door frame,28,8,door,door,13.683707305499631,-3.072999417146135,4.822038292884827,7.662271263195647,0.45623049687617934,3.3465287685394287,2.891930258995822,_,47,79,79,aqua,0.3800279469008883,19.144328235822194,0,0,0,black,0.33411518115580396,21.683926495170088,128,128,128,gray,0.26888911068968957,3.0596301176151224
1,0,ceiling,4,22,ceiling,ceiling,12.962086877933316,0.6316375427505219,6.158928394317627,8.209178158452838,9.333243530524378,0.5883607864379883,-1.6191103462283603,_,128,128,128,gray,0.825367384790983,3.0361399052486715,_,_,_,_,_,_,_,_,_,_,_,_
2,0,plant,82,40,plant,otherprop,13.94198588166949,1.612555512473775,4.4474992752075195,0.3806848754947183,0.3476880997702789,0.597722053527832,1.57261465575448,_,105,105,105,gray,0.5372112917023096,9.261782270810464,47,79,79,aqua,0.18905047048759624,19.674453709996754,176,196,222,blue,0.11291702309666382,7.6112993990659525
3,0,unknown,20,40,unknown,otherprop,12.96155632793285,0.37591981675289765,4.777571797370911,9.391119054345708,8.21998455393595,3.350484609603882,3.083588183966179,_,128,128,128,gray,0.4618556701030928,3.6322844782849733,47,79,79,aqua,0.2626440266828381,20.562537608359243,0,0,0,black,0.19472407519708915,22.9263430442948
4,0,shelf,42,15,shelves,shelves,9.443972513774725,1.3203415269450913,5.091378450393677,2.2177876512520953,1.0337751196275082,0.8501400947570801,1.088419808431909,_,105,105,105,gray,0.4336299255493009,6.313395780280247,47,79,79,aqua,0.2749228254948248,20.73714852060569,160,82,45,brown,0.19466134011258399,17.131658090875977
5,0,wall,21,1,wall,wall,12.065951134623681,4.482918756588397,4.671249628067017,7.02612739637328,0.4493553801829293,3.1442809104919434,3.125389437756825,_,169,169,169,gray,0.6766601708889222,3.5944271368064027,47,79,79,aqua,0.16601708889222005,20.007574766025158,_,_,_,_,_,_
6,0,wall,21,1,wall,wall,16.06896518271321,2.200588321857448,4.7360005378723145,4.718737329876113,0.1026744547678149,3.0364627838134766,1.7978843544170942,_,169,169,169,gray,0.527722553567484,4.051939222132252,176,196,222,blue,0.22973271482217805,3.3964660524108687,160,82,45,brown,0.1846697592224431,13.482888405087435
7,0,wall,21,1,wall,wall,9.679261008414466,-1.7678224855712001,4.800806760787964,1.0306525510620506,0.597328841080353,3.281013011932373,1.7443178349810677,_,47,79,79,aqua,0.5248827154815564,21.021602394433977,0,0,0,black,0.319473829454512,24.376161386328093,105,105,105,gray,0.13853371354981142,4.4862942884054196
8,0,kitchen island,456,38,kitchen island,otherstructure,12.926246335068669,-0.9388479906619822,3.6629263162612915,2.8346843709164986,1.978819021215277,0.952258825302124,3.1148029992598523,_,160,82,45,brown,0.40816874916028484,17.308126349395536,105,105,105,gray,0.2693806260916297,6.194915645592229,47,79,79,aqua,0.1925298938600027,22.1288097750593
9,0,kitchen cabinet,3,3,cabinet,cabinet,16.318410453435167,-0.2975412133222581,4.074413180351257,4.681488349403273,0.719342234866664,1.7471058368682861,1.7970436891175317,_,205,133,63,brown,0.37363238512035013,13.56325756773638,105,105,105,gray,0.27552881108679794,6.908393615750337,_,_,_,_,_,_
