nyuId,nyuClass,affordance
1, Book,Read
2, Bottle,Contain liquid
3, Cabinet,Storage
4, Ceiling,Shelter
5, Chair,Sit
6, Cone,Warn
7, Counter,Support
8, Dishwasher,Clean dishes
9, Faucet,Dispense water
10, Fire extinguisher,Extinguish fire
11, Floor,Stand
12, Garbage bin,Dispose waste
13, Microwave,Heat food
14, Paper towel dispenser,Dispense towels
15, Paper,Write
16, Pot,Cook food
17, Refrigerator,Cool
18, Stove burner,Heat
19, Table,Support
20, Unknown,Undefined
21, Wall,"Structural support, Divide space"
22, Bowl,Contain food
23, Magnet,Attach objects
24, Sink,Wash
25, Air vent,Ventilate
26, Box,Contain
27, Door knob,Open door
28, Door,Enter/Exit
29, Scissors,Cut
30, Tape dispenser,Dispense tape
31, Telephone cord,Connect
32, Telephone,Communicate
33, Track light,Illuminate
34, Cork board,Pin
35, Cup,Contain liquid
36, Desk,Support
37, Laptop,Compute
38, Air duct,Ventilate
39, Basket,Contain
40, Camera,Capture photo
41, Pipe,Transport
42, Shelves,Storage
43, Stacked chairs,Sit
44, Styrofoam object,Cushion
45, Whiteboard,Write
46, Computer,Compute
47, Keyboard,Type
48, Ladder,Climb
49, Monitor,Display
50, Stand,Support
51, Bar,Support
52, Motion camera,Capture motion
53, Projector screen,Display
54, Speaker,Amplify sound
55, Bag,Carry items
56, Clock,Tell time
57, Green screen,Background
58, Mantel,Display items
59, Window,View
60, Ball,Play
61, Hole puncher,Punch holes
62, Light,Illuminate
63, Manilla envelope,Contain documents
64, Picture,Decorate
65, Mail shelf,Sort mail
66, Printer,Print
67, Stapler,Bind
68, Fax machine,Transmit documents
69, Folder,Organize
70, Jar,Contain
71, Magazine,Read
72, Ruler,Measure
73, Cable modem,Connect internet
74, Fan,Cool
75, File,Organize
76, Hand sanitizer,Wash
77, Paper rack,Organize papers
78, Vase,Contain flowers
79, Air conditioner,Cool
80, Blinds,Block light
81, Flower,Decorate
82, Plant,Decorate
83, Sofa,Sit
84, Stereo,Play music
85, Books,Read
86, Exit sign,Guide
87, Room divider,Divide space
88, Bookshelf,Storage
89, Curtain,Cover
